genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group,type
Kmo,66.46467756613042,23.030379556429217,3.0556345197180335,7.537020349722455,4.8083131962400857e-14,4.239677896510823e-12,1,Significant
Stx11,83.67193613877274,23.710417936330984,2.3574266110107835,10.057754428319095,8.491303896657265e-24,2.4600520432029906e-21,1,Significant
Prdm4,81.46668607046266,24.242279346711257,2.2326131406638736,10.858253454292019,1.8220053620153108e-27,9.237567185417626e-25,1,Significant
Tcf7,3.4034952639214624,-30,4.127745781158835,-7.267889446325765,3.6514742638887345e-13,2.742662891543094e-11,1,Significant
Nlrp3,37.817624920613774,15.28285093341934,2.0246084580950097,7.5485464225508805,4.401428277846798e-14,4.057316612487866e-12,1,Significant
Pik3r5,117.3565228050164,20.613138047798454,2.4179888487876475,8.524910302267791,1.5292827962348243e-17,1.9383659442276396e-15,1,Significant
Itgb3,47.580684628531465,22.369932627114647,2.947840288107055,7.588583654740474,3.234211376098061e-14,3.2794903353634345e-12,1,Significant
Tent4a,53.084778200150126,20.950274484773242,2.0924177375454143,10.01247222715179,1.34352453665283e-23,3.0274086225910435e-21,1,Significant
Dnah12,44.335157493924896,22.07789806495903,2.027742595239917,10.887919461171467,1.316126050259285e-27,8.897012099752766e-25,1,Significant
Mtrf1,129.4738886724494,19.04194803488436,2.154754691425008,8.837176737873262,9.816777878201028e-19,1.4220303954994062e-16,1,Significant
B430306N03Rik,3.8720335256486864,-28.686356791932766,2.363643709065678,-12.136497849446254,6.766046560818429e-34,6.860771212669887e-31,1,Significant
Pmaip1,59.01264303163577,20.984510780872697,2.7972392574482545,7.501864820821779,6.291623927462897e-14,5.3164222187061485e-12,1,Significant
Dclre1a,134.95475747208354,18.874158433164162,2.17391607683587,8.682100764733963,3.8852497599571255e-18,5.252857675462034e-16,1,Significant
Vps37c,133.86998933271278,22.87222038581599,2.2825319150051335,10.020547899223809,1.238146434173119e-23,3.0274086225910435e-21,1,Significant
Cc2d2b,17.767787287935313,21.99699577872341,2.9543588938661043,7.4456071753482584,9.649955194051312e-14,7.57362375298871e-12,1,Significant
Crat,90.95504913659575,21.038524027607068,2.776109579207044,7.578419881255703,3.497887992502182e-14,3.3779604041878213e-12,1,Significant
Lcmt2,107.05462351221824,19.56827520188666,1.9146137876562204,10.220481711792756,1.6054108811841685e-24,5.42628877840249e-22,1,Significant
I830077J02Rik,105.56164390603189,21.501552426276078,2.4040597206413943,8.943851203721154,3.7583849132852463e-19,6.038139544762706e-17,1,Significant
Manea,111.13419959314376,21.10531562700554,2.322384724293459,9.087777492778002,1.0108415091422807e-19,1.8636241641277685e-17,1,Significant
Tbc1d2,145.09282845968852,21.725990355671875,1.7641019141185474,12.315609535817266,7.464903276015246e-35,1.5138823843758919e-31,1,Significant
Junos,75.82380969960185,19.426447186199663,2.498811835533959,7.7742737207935955,7.588150003503588e-15,8.549315670614043e-13,1,Significant
Hectd3,25.700471907085472,19.179389478089632,2.576215841961343,7.444791374113997,9.709774042293216e-14,7.57362375298871e-12,1,Significant
Naaa,22.292873877966887,21.37803975490573,2.797519083756572,7.641785137064663,2.1423047052795093e-14,2.2866283906878133e-12,1,Significant
Alox5,78.65424080128186,22.661025248935974,3.13240329986502,7.234389406342559,4.676282269192164e-13,3.3869644435434676e-11,1,Significant
Far2,294.24288451931443,22.400729160177473,2.417597469910508,9.265698462617385,1.9380467313010803e-20,3.9303587710785914e-18,1,Significant
Zfp507,141.6337135874936,21.2735042070516,2.3794266954118557,8.940600796012069,3.870602272283786e-19,6.038139544762706e-17,1,Significant
Pcsk7,170.0680402252657,21.981158546673342,2.1488047820822853,10.22948139819972,1.4630071580624327e-24,5.42628877840249e-22,1,Significant
Phka1,21.898548833225657,18.93002198378096,2.4102850446402093,7.853851985629651,4.03450386521311e-15,4.812925787442463e-13,1,Significant
Slc45a3,77.92085260016508,23.02507197578829,2.408294815081318,9.5607364312707,1.169217241188357e-21,1.3404731782800633e-19,2,Significant
Kmo,66.46467756613042,23.34842296583961,2.84035729512991,8.220241518865576,2.0309376150146724e-16,1.649290588193165e-14,2,Significant
Stx11,83.67193613877274,20.49327272528725,2.1957825144666625,9.333015720031316,1.029005654866248e-20,9.550152482544369e-19,2,Significant
Prdm4,81.46668607046266,20.02813730654143,2.080814262384108,9.625144189272351,6.261903947434178e-22,7.627781745968258e-20,2,Significant
Nlrp3,37.817624920613774,21.585043407759144,1.8701506626956566,11.541874052353737,8.113795946232039e-31,3.9534470748015606e-28,2,Significant
